ROIid;ROIabbr;ROIname;ROIcolor
311;rSalVentAttnB_PFCmp_1;17Networks_RH_SalVentAttnB_PFCmp_1;250 153 214
312;rSalVentAttnB_PFCmp_2;17Networks_RH_SalVentAttnB_PFCmp_2;250 153 215
313;rLimbicB_OFC_1;17Networks_RH_LimbicB_OFC_1;126 135 50
314;rLimbicB_OFC_2;17Networks_RH_LimbicB_OFC_2;126 135 52
315;rLimbicB_OFC_3;17Networks_RH_LimbicB_OFC_3;126 135 53
316;rLimbicB_OFC_4;17Networks_RH_LimbicB_OFC_4;126 135 54
317;rLimbicB_OFC_5;17Networks_RH_LimbicB_OFC_5;126 135 55
318;rLimbicB_OFC_6;17Networks_RH_LimbicB_OFC_6;126 135 56
319;rLimbicA_TempPole_1;17Networks_RH_LimbicA_TempPole_1;224 248 164
320;rLimbicA_TempPole_2;17Networks_RH_LimbicA_TempPole_2;224 248 166
321;rLimbicA_TempPole_3;17Networks_RH_LimbicA_TempPole_3;224 248 167
322;rLimbicA_TempPole_4;17Networks_RH_LimbicA_TempPole_4;224 248 168
323;rLimbicA_TempPole_5;17Networks_RH_LimbicA_TempPole_5;224 248 169
324;rLimbicA_TempPole_6;17Networks_RH_LimbicA_TempPole_6;224 248 170
325;rContA_IPS_1;17Networks_RH_ContA_IPS_1;234 147 35
326;rContA_IPS_2;17Networks_RH_ContA_IPS_2;234 147 36
327;rContA_IPS_3;17Networks_RH_ContA_IPS_3;234 147 37
328;rContA_IPS_4;17Networks_RH_ContA_IPS_4;234 147 38
